Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
HDFC,W3,19-Sep-22,445.2,450.1,466,450,463,460.2,459.16,10800,4958940,18,8400,77.78
HDFC,EQ,20-Sep-22,2441.4,2462.1,2493.95,2452,2482,2486.25,2480.05,3195080,7923956213,107461,2077600,65.02
HDFC,W3,20-Sep-22,460.2,478.9,485,465.1,478,482,476.69,25200,12012690,41,19200,76.19
HDFC,EQ,21-Sep-22,2486.25,2470,2486.4,2440,2461,2459.85,2460.2,1864812,4587816801,120142,1187832,63.7
HDFC,W3,21-Sep-22,482,473,478,458.1,471,471,468.09,11400,5336250,19,6600,57.89
HDFC,EQ,22-Sep-22,2459.85,2430,2440.2,2408.55,2415.1,2416.65,2421.14,3577005,8660416815,93391,2102083,58.77
HDFC,W3,22-Sep-22,471,454,460,441,450.1,451.45,451.91,31800,14370630,50,17400,54.72
HDFC,EQ,23-Sep-22,2416.65,2389.25,2400.9,2340.9,2353.9,2353.25,2357.51,4075380,9607738022,175207,2945355,72.27
HDFC,W3,23-Sep-22,451.45,438.5,445,415,415.5,418.8,422.63,55800,23582550,84,47400,84.95
HDFC,EQ,26-Sep-22,2353.25,2320.9,2341.6,2305,2315,2309.65,2318.62,2679719,6213249343,132498,1828789,68.25
HDFC,W3,26-Sep-22,418.8,408.5,410,401,407.9,405.2,405.25,10800,4376730,18,7200,66.67
HDFC,EQ,27-Sep-22,2309.65,2311,2323.9,2281,2293.3,2289.15,2304.4,3437158,7920583464,121508,1839700,67.8
HDFC,W3,27-Sep-22,405.2,405,415,393.55,400,400,405.92,13800,5601660,23,10200,77.27
HDFC,EQ,28-Sep-22,2289.15,2272,2278.1,2237.25,2238,2244.05,2255.91,2809685,6338386708,154761,1792753,63.81
HDFC,W3,28-Sep-22,400,390,400,388,392.95,391.35,391.02,44400,17361360,72,32400,72.97
HDFC,EQ,29-Sep-22,2244.05,2260.5,2273.45,2231,2238,2237.5,2249.62,2787261,6270269847,191223,1994239,71.55
HDFC,W3,29-Sep-22,391.35,399,409.85,390,390.5,390.5,399.52,18600,7431150,25,13800,74.19
HDFC,EQ,30-Sep-22,2237.5,2223.25,2317.85,2202.7,2288.6,2287.75,2271.21,4652604,10567028175,171262,3213633,69.07
HDFC,W3,30-Sep-22,390.5,389.95,401.5,389.95,398,396.9,395.03,51600,20383560,85,43200,83.72
HDFC,EQ,3-Oct-22,2287.75,2278,2289,2258.05,2279.05,2283.05,2277.78,2499307,5692876552,95995,1786310,71.47
HDFC,W3,3-Oct-22,396.9,386.55,389,383.55,388,388,386.76,4200,1624380,7,2400,57.14
HDFC,EQ,4-Oct-22,2283.05,2328.7,2353.9,2315.25,2350.9,2349.45,2344.67,2356681,5525637893,114918,1735364,73.64
HDFC,W3,4-Oct-22,388,423,423,395.55,395.55,399.85,405.08,24600,9965010,39,18000,73.17
HDFC,EQ,6-Oct-22,2349.45,2350,2358.8,2310,2313,2316.1,2337.84,3642541,8515676452,132178,2698707,74.09
HDFC,W3,6-Oct-22,399.85,399,403.95,386.2,393,393,394.74,12000,4736820,20,9000,75
HDFC,EQ,7-Oct-22,2316.1,2302,2333.5,2301,2324,2326.9,2318.46,1942133,4502760518,73691,1244676,64.09
HDFC,W3,7-Oct-22,393,394,394,386.55,386.55,387.5,389.88,8400,3274950,13,7800,92.86
HDFC,EQ,10-Oct-22,2326.9,2295,2316.4,2264.55,2301.15,2298.5,2290.21,1774667,4064365790,85211,1044170,58.84
HDFC,W3,10-Oct-22,387.5,376,390,374,390,390,382.55,6000,2295270,10,5400,90
HDFC,EQ,11-Oct-22,2298.5,2283.25,2305.1,2267.5,2272,2271.25,2287.34,2703737,6184366299,132344,1925005,71.2
HDFC,W3,11-Oct-22,390,368.7,390.5,368.7,375.55,375.55,385.87,6000,2315190,9,4800,80
HDFC,EQ,12-Oct-22,2271.25,2275.2,2309.45,2271,2307,2301.75,2295.42,2115703,4856428441,100978,1525295,72.09
HDFC,W3,12-Oct-22,375.55,373.05,390.25,373.05,389.95,389.4,386.16,11400,4402200,14,10800,94.74
HDFC,EQ,13-Oct-22,2301.75,2279,2295.85,2271,2279.75,2283.25,2281.89,3528425,8051476174,99362,2582684,73.2
HDFC,W3,13-Oct-22,389.4,376.25,380,372,372,372,376.02,6000,2256120,10,5400,90
HDFC,EQ,14-Oct-22,2283.25,2305,2359,2305,2349.8,2343.5,2339.72,3867131,9048018949,103936,2389704,61.8
HDFC,W3,14-Oct-22,372,383,390,375,389,382.4,382.87,58800,22512990,96,42600,72.45
HDFC,EQ,17-Oct-22,2343.5,2332,2367,2322.5,2352.5,2349.25,2347.06,3513903,8247323675,125122,2359608,67.15
HDFC,W3,17-Oct-22,382.4,385,385,366,370,369.3,378.58,60000,22714560,89,51000,85
HDFC,EQ,18-Oct-22,2349.25,2355.5,2366.7,2322.05,2334.85,2331.65,2338.82,5434016,12709175663,155687,4030631,74.17
HDFC,W3,18-Oct-22,369.3,375,378,353.05,358,357.7,364.98,29400,10730550,48,16200,55.1
