"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TECHM","EQ","01-Dec-2022","       1077.00","       1091.40","       1107.95","       1088.15","       1101.00","       1101.50","       1101.99","    4264917","          4699905339.25","     127053","    2254670","         52.87"
"TECHM","EQ","02-Dec-2022","       1101.50","       1101.50","       1116.30","       1100.05","       1114.00","       1114.75","       1110.01","    3418928","          3795050596.25","      81517","    1998902","         58.47"
"TECHM","EQ","05-Dec-2022","       1114.75","       1120.00","       1120.00","       1096.25","       1100.00","       1099.75","       1104.18","    2760688","          3048304839.35","      87453","    1665465","         60.33"
"TECHM","EQ","06-Dec-2022","       1099.75","       1089.00","       1096.15","       1080.05","       1087.55","       1088.80","       1087.67","    1838107","          1999258002.95","      62059","     984559","         53.56"
"TECHM","EQ","07-Dec-2022","       1088.80","       1086.00","       1087.30","       1074.20","       1077.00","       1078.05","       1080.00","    1478573","          1596865421.75","      54751","     710168","         48.03"
"TECHM","EQ","08-Dec-2022","       1078.05","       1078.10","       1082.40","       1070.30","       1074.00","       1074.15","       1075.10","    1110431","          1193824201.10","      44762","     576623","         51.93"
"TECHM","EQ","09-Dec-2022","       1074.15","       1073.95","       1075.70","       1030.20","       1036.75","       1035.30","       1045.04","    3138360","          3279718805.00","     111121","    1630378","         51.95"
"TECHM","EQ","12-Dec-2022","       1035.30","       1034.00","       1044.40","       1021.80","       1032.00","       1032.10","       1033.81","    1689393","          1746503081.45","      56002","     798648","         47.27"
"TECHM","EQ","13-Dec-2022","       1032.10","       1039.85","       1047.45","       1030.15","       1045.15","       1045.75","       1040.40","    1983827","          2063970767.15","      55075","    1095107","         55.20"
"TECHM","EQ","14-Dec-2022","       1045.75","       1051.00","       1068.05","       1051.00","       1063.00","       1065.10","       1062.27","    1983937","          2107476013.10","      84053","    1065065","         53.68"
"TECHM","EQ","15-Dec-2022","       1065.10","       1060.00","       1060.00","       1020.25","       1024.50","       1022.75","       1031.57","    5184673","          5348373334.85","     182989","    3335503","         64.33"
"TECHM","EQ","16-Dec-2022","       1022.75","       1015.00","       1033.50","       1011.00","       1021.00","       1020.80","       1022.40","    2994364","          3061446398.20","      96568","    1515970","         50.63"
"TECHM","EQ","19-Dec-2022","       1020.80","       1019.95","       1028.10","       1009.75","       1026.50","       1026.70","       1022.47","    1529622","          1563994262.00","      52218","     787442","         51.48"
"TECHM","EQ","20-Dec-2022","       1026.70","       1025.00","       1025.00","       1004.00","       1018.50","       1017.95","       1011.89","    2149130","          2174685477.10","      78746","     883610","         41.11"
"TECHM","EQ","21-Dec-2022","       1017.95","       1024.50","       1030.55","       1020.25","       1025.00","       1026.05","       1026.17","    2037666","          2090995180.60","      98704","    1041048","         51.09"
"TECHM","EQ","22-Dec-2022","       1026.05","       1030.00","       1035.00","       1012.60","       1016.00","       1015.85","       1019.80","    1925482","          1963611835.30","      59068","     977655","         50.77"
"TECHM","EQ","23-Dec-2022","       1015.85","       1005.05","       1015.50","        993.00","        997.00","        995.75","       1003.64","    1504806","          1510288193.50","      80231","     678436","         45.08"
"TECHM","EQ","26-Dec-2022","        995.75","       1000.35","       1006.50","        993.00","       1000.00","       1001.00","       1002.09","     966423","           968443860.70","      41693","     398278","         41.21"
"TECHM","EQ","27-Dec-2022","       1001.00","       1009.70","       1012.60","        993.20","       1010.00","       1009.55","       1004.39","    1615647","          1622745300.95","      45887","     692090","         42.84"
"TECHM","EQ","28-Dec-2022","       1009.55","       1005.30","       1019.40","       1002.20","       1015.00","       1016.25","       1013.43","    1077963","          1092440054.75","      34484","     525548","         48.75"
"TECHM","EQ","29-Dec-2022","       1016.25","       1010.00","       1015.70","       1007.00","       1014.45","       1013.20","       1011.96","    1977329","          2000976681.95","      58409","    1258102","         63.63"
"TECHM","EQ","30-Dec-2022","       1013.20","       1022.75","       1027.65","       1015.00","       1015.40","       1016.40","       1021.38","    1317151","          1345315780.70","      39715","     555119","         42.15"
"TECHM","EQ","02-Jan-2023","       1016.40","       1017.90","       1021.85","       1005.20","       1010.00","       1009.50","       1009.72","    1348611","          1361722860.85","      44695","     603364","         44.74"
"TECHM","EQ","03-Jan-2023","       1009.50","       1013.00","       1024.80","       1008.05","       1024.50","       1023.80","       1018.43","    1439615","          1466142854.55","      54551","     763642","         53.04"
